date,confidence
2014/1/1,100.6437
2014/2/1,100.6672
2014/3/1,100.7172
2014/4/1,100.7684
2014/5/1,100.7892
2014/6/1,100.7889
2014/7/1,100.8099
2014/8/1,100.8494
2014/9/1,100.8453
2014/10/1,100.8749
2014/11/1,100.8523
2014/12/1,100.7284
2015/1/1,100.5946
2015/2/1,100.4772
2015/3/1,100.3746
2015/4/1,100.3237
2015/5/1,100.329
2015/6/1,100.2998
2015/7/1,100.2173
2015/8/1,100.0979
2015/9/1,99.97588
2015/10/1,99.86142
2015/11/1,99.74829
2015/12/1,99.70018
2016/1/1,99.73695
2016/2/1,99.84383
2016/3/1,99.9754
2016/4/1,100.0504
2016/5/1,100.1241
2016/6/1,100.1699
2016/7/1,100.1109
2016/8/1,100.0267
2016/9/1,100.0874
2016/10/1,100.2371
2016/11/1,100.4477
2016/12/1,100.6831
2017/1/1,100.9061
2017/2/1,101.0685
2017/3/1,101.1059
2017/4/1,101.0931
2017/5/1,101.1684
2017/6/1,101.3335
2017/7/1,101.4842
2017/8/1,101.6634
2017/9/1,101.7985
2017/10/1,101.823
2017/11/1,101.8411
2017/12/1,101.8938
2018/1/1,101.9008
2018/2/1,101.8473
2018/3/1,101.7202
2018/4/1,101.6364
2006/9/1,99.72632
2006/10/1,99.83325
2006/11/1,99.7812
2006/12/1,99.63829
2007/1/1,99.5561
2007/2/1,99.68332
2007/3/1,99.83431
2007/4/1,99.9686
2007/5/1,100.0345
2007/6/1,100.0229
2007/7/1,100.0135
2007/8/1,99.99975
2007/9/1,99.97266
2007/10/1,99.97212
2007/11/1,99.96449
2007/12/1,99.91781
2008/1/1,99.92162
2008/2/1,100.0094
2008/3/1,100.1173
2008/4/1,100.1835
2008/5/1,100.1147
2008/6/1,99.98166
2008/7/1,99.8265
2008/8/1,99.57011
2008/9/1,99.09624
2008/10/1,98.27818
2008/11/1,97.19276
2008/12/1,96.3008
2009/1/1,96.03363
2009/2/1,96.26096
2009/3/1,96.85789
2009/4/1,97.55253
2009/5/1,98.11597
2009/6/1,98.52964
2009/7/1,98.87146
2009/8/1,99.23951
2009/9/1,99.5226
2009/10/1,99.67025
2009/11/1,99.74287
2009/12/1,99.92093
2010/1/1,100.2409
2010/2/1,100.5695
2010/3/1,100.8012
